3808 17:43:42.484429 W | PID: 3644 | 6808 17:43:42.478429 Requesting resource read for coui://ui/main/atlas/icon_atlas/img/strategic_icons/icon_si_sonar_adv.png with internal id 142 reported FAIL
3808 17:43:42.486429 W | PID: 3644 | 6788 17:43:42.481431 Could not recognize the mime type of coui://ui/main/shared/css/font/Armata-Regular-webfont.ttf
3808 17:43:42.532432 W | PID: 3644 | 6788 17:43:42.516431 [3300:2028:WARNING:resource_bundle.cc(252)] locale_file_path.empty()
3808 17:43:42.532432 W | PID: 3644 | 6788 17:43:42.519431 [2644:4000:WARNING:resource_bundle.cc(252)] locale_file_path.empty()
3808 17:43:42.609436 W | PID: 3644 | 6788 17:43:42.575435 Could not recognize the mime type of coui://ui/main/shared/css/font/Armata-Regular-webfont.ttf
3808 17:43:42.932456 W | PID: 3644 | 6788 17:43:42.918456 Could not recognize the mime type of coui://ui/main/_i18n/locales/en-us/start.json
3808 17:43:42.952456 W | PID: 3644 | 6788 17:43:42.951459 Could not recognize the mime type of coui://ui/main/_i18n/locales/en/start.json
3808 17:43:42.965457 W | PID: 3644 | 6788 17:43:42.952456 Could not recognize the mime type of coui://ui/main/_i18n/locales/en-us/uberbar.json
3808 17:43:42.984459 W | PID: 3644 | 6788 17:43:42.984459 Could not recognize the mime type of coui://ui/main/_i18n/locales/dev/start.json
3808 17:43:42.999459 W | PID: 3644 | 6788 17:43:42.985458 Could not recognize the mime type of coui://ui/main/_i18n/locales/en/uberbar.json
3808 17:43:43.017472 W | PID: 3644 | 6788 17:43:43.016460 Could not recognize the mime type of coui://ui/main/_i18n/locales/en-us/shared.json
3808 17:43:43.032517 W | PID: 3644 | 6788 17:43:43.018462 Could not recognize the mime type of coui://ui/main/_i18n/locales/dev/uberbar.json
3808 17:43:43.049462 W | PID: 3644 | 6788 17:43:43.032517 Could not recognize the mime type of coui://ui/main/_i18n/locales/en/shared.json
3808 17:43:43.065462 W | PID: 3644 | 6788 17:43:43.049462 Could not recognize the mime type of coui://ui/main/_i18n/locales/en-us/shared.json
3808 17:43:43.082516 W | PID: 3644 | 6788 17:43:43.066462 Could not recognize the mime type of coui://ui/main/_i18n/locales/dev/shared.json
3808 17:43:43.099465 W | PID: 3644 | 6788 17:43:43.082516 Could not recognize the mime type of coui://ui/main/_i18n/locales/en/shared.json
3808 17:43:43.132467 W | PID: 3644 | 6788 17:43:43.116466 Could not recognize the mime type of coui://ui/main/_i18n/locales/dev/shared.json
3808 17:43:43.299476 W | PID: 3644 | 6808 17:43:43.282476 Requesting resource read for coui://ui/main/shared/css/images/ui-icons_ffffff_256x240.png with internal id 233 reported FAIL
3808 17:43:43.428485 W | PID: 3644 | 6788 17:43:43.425484 Could not recognize the mime type of coui://ui/main/shared/css/font/Armata-Regular-webfont.ttf
